,recession_indicator,unemployment_rate,housing_starts,consumer_sentiment,industrial_production,jobless_claims,yield_spread,credit_spread,sp500
1986-01-01,0.0,-0.5680248794083296,56.23798040033785,-0.5402918250599953,1.3227865342340763,-21869.235315211,0.31432336536582106,-0.4696164638290181,-16.26170529145756
1986-02-01,0.0,-0.016749597943025663,-49.361405805531604,0.07411327001129564,0.7573419195718785,-16300.949522909359,-0.017312908371303504,-0.29195743815068864,-4.435604816140369
1986-03-01,0.0,0.03488069907190372,-2.9959407491526235,-0.41114395252687075,0.188070563325752,-1768.9954585360247,-0.2074012733095273,0.027081563982946033,4.240655562874537
1986-04-01,0.0,-0.012768504315204154,72.33007771035159,1.0042278689223565,0.08977238521205777,5650.483243432478,-0.18493870753266217,0.21367474909042272,-2.4199700250489116
1986-05-01,0.0,0.1406464755070722,11.614224176826156,-0.07922293907390099,-0.00957023915493238,8832.44857068127,-0.16471509693544528,-0.08854031064902346,6.16278063582044
1986-06-01,0.0,0.19547730246534556,22.80886695554682,4.738424307633409,-0.4173310419016971,-3651.6690411317977,-0.21077908567369852,-0.11021862372284819,6.450702384080756
1986-07-01,0.0,0.05198773643904353,-24.140884538319824,3.4571398075302966,-0.2507777737552317,-9035.959436705336,-0.20738373027501755,0.22759208712759937,-11.41823848620777
1986-08-01,0.0,0.010319363993550823,18.695823568544938,0.9739322439105109,-0.5531173535413387,39597.76983241283,-0.023260739948842257,0.40125064813845857,2.2998627227985935
1986-09-01,0.0,0.17058127935897804,-83.73506679770367,-1.7163504123119253,-0.6208999639772372,31073.35868932266,0.22056354850256754,0.16086974438751778,-22.333924815830784
1986-10-01,0.0,0.23287612716293626,-72.49929860064117,2.2805311021245274,-0.6032300894341702,22339.89845097874,0.24926781242989526,0.24040218838838578,-12.620030988736318
1986-11-01,0.0,0.19719993873343888,-113.61028038709492,-1.6401112305108683,-0.6085241518059519,5927.059585154988,0.0599852290583629,0.27005667042085113,-10.224840309626472
1986-12-01,0.0,-0.0365968021809806,112.96389135773325,-3.6843907598877763,-0.3172215541804846,4700.5501230933005,-0.08750739397015361,0.34686854137387035,-19.986918742568605
1987-01-01,0.0,0.031213138206503288,70.32612657388336,-2.157395766156725,-0.7602813720508195,-4177.626316205191,-0.08293610774730842,0.16145977797279842,9.381583908329219
1987-02-01,0.0,0.10037986668407939,96.5087327692961,-2.1619117852433476,-0.2763644174386002,2751.5960424336954,-0.10016897512443823,-0.045203564018708065,17.181055439540216
1987-03-01,0.0,0.17063398182855494,54.50006362280283,-1.3993759807194834,-0.4569563265080063,-9000.10600936861,-0.1382051053315777,-0.0523786165836575,22.62591151501664
1987-04-01,0.0,-0.05835665519994304,-41.77184514474652,0.7301256787088164,-0.3657700076622987,-2322.77542751719,0.028925354811784154,-0.35893768622624034,17.52989128456869
1987-05-01,0.0,0.012969170520069184,-12.413020352265676,-0.8726181656764993,-0.2774327716007292,-4000.830101661326,-0.12298793885274162,-0.44546960232769495,17.832668386903777
1987-06-01,0.0,-0.015790853180421394,-31.503381415452623,-0.40727520114266724,-0.2555433227677568,-9317.236186807975,-0.14738598572708916,-0.19230468186540461,30.62281135289527
1987-07-01,0.0,-0.04504714420200617,-36.115089612286056,1.8270322713965612,-0.13792697012559785,-9052.459319150774,0.029354095235602617,-0.12049049431096925,44.49785437965909
1987-08-01,0.0,-0.07520025116203932,7.699383392640357,2.5314364980281567,0.023650691940275692,368.85813773353584,0.037501413877387035,-0.2062790940344974,55.156126489246844
1987-09-01,0.0,-0.1066225682127504,110.91013786574035,1.7059278296694487,-0.017589726599275934,-12622.268392657512,0.11733487225893369,-0.333336406336332,46.95820902128531
1987-10-01,0.0,0.06036051065060466,-56.51753804119289,-2.651085530573468,0.5012576025440865,-19745.05402316252,0.1757333106806147,-0.09528601216962551,-23.139830157209303
1987-11-01,0.0,-0.07450976946209487,96.31232498746749,-8.942261584488136,0.5337095012378796,-10610.824948874651,0.24051385510662948,0.20951608177303838,-44.63127022880445
1987-12-01,0.0,-0.1115298887601277,-148.66898027137563,-5.368601405405386,0.6212695053480033,3531.433293877577,0.22732866033739096,0.17076157475536036,-27.894937137492832
1988-01-01,0.0,-0.05094975884685926,-267.5903562439373,-1.5255171531658505,0.3714075823020764,22289.366934358375,0.16340888332213976,0.3060335470385769,-18.061730545092985
1988-02-01,0.0,0.007050414854822051,-56.48778724376325,-0.9050656117317288,0.44870540608691556,7118.415056023572,0.1949877108730954,0.34089516082861415,-7.635145684938948
1988-03-01,0.0,0.06232227052131023,10.769986388254893,1.9016498831555424,0.38661252095037923,-4689.914112004859,0.30787125645863966,0.1659198883921702,-17.097364184359776
1988-04-01,0.0,-0.18528696018028867,59.349529178251714,-1.6959083382381834,0.5418980302615282,3201.4386499848915,0.3804119584475383,0.1770613399408525,-15.435851246623827
1988-05-01,0.0,0.0640310029980542,-85.58932558913011,1.7105335231759824,0.23538940456386115,5682.4637580247945,0.396153512256031,-0.011993154607930379,-15.65726293136862
1988-06-01,0.0,-0.08979975534551432,-21.92383808498448,1.430309209198441,0.24417542813193904,841.1507289905567,0.25384915490406246,0.1492973099856605,-5.6587543755773595
1988-07-01,0.0,-0.04689516998972998,-26.477775151912738,-0.028316621822526145,0.0993977668624666,14561.93753990886,0.19422982390910437,0.1585268715549144,-8.777615581198177
1988-08-01,0.0,0.19268494913377143,5.938798766287846,3.8420267452057004,0.2672454770095669,7778.736448601063,0.11000087089553579,0.08719814518138858,-21.217594945881785
1988-09-01,0.0,0.02891010157459739,11.532367835290188,3.6487277232643436,-0.05035450877686287,-2733.6414980739355,0.05411440743333751,0.08425729793367798,-13.066969505978307
1988-10-01,0.0,0.06162935878914766,48.50570447153859,0.39677345861889535,0.1027577137299005,-16455.246963537647,0.0436050273733265,-0.19174825191330602,-8.530790701387218
1988-11-01,0.0,-0.009326276579660231,103.05437336158093,-0.7111293572921369,0.15367352032460957,-18364.422085275117,-0.041125875820313684,-0.26033306366604525,-16.585880860207283
1988-12-01,0.0,0.015835679761846855,105.34362312666735,-1.7725220164419824,0.34822006323087606,-17079.22447141935,-0.2630602694859633,-0.21555023906674475,-15.583796484317475
1989-01-01,0.0,0.13691354103019826,172.47429340469603,4.315498645044471,0.4582284487220747,-22356.233966300322,-0.31091632205151937,-0.17086160026424957,0.9543404593155742
1989-02-01,0.0,-0.04630427685792515,-13.518615930888927,1.9569436173026702,0.12111214553207361,-10591.35589895316,-0.3815222253666767,-0.27845139336512914,-11.012911937925082
1989-03-01,0.0,-0.23411492894899055,-5.707901440020805,1.0531267038148115,0.224898229614233,5033.47704781557,-0.4588751431799837,-0.3959923140710271,-8.45752368806859
