,recession_indicator,cli_equal,cli_pca,cli_weighted,recession_prob_cli_equal,recession_prob_cli_weighted,recession_prob_multi
1986-12-01,0.0,-0.1578991153047587,0.9369170020433444,-0.1931062638071285,0.5158527760278159,0.5180744287373362,0.029964856793244652
1987-01-01,0.0,-0.1501985971469576,0.2266173833039041,-0.3800923176820432,0.514053041917348,0.5593210719345094,0.10775960819337294
1987-02-01,0.0,-0.2182916189355307,-0.3071069794098712,-0.3098014605461644,0.5299495383306387,0.5438808072385447,0.2269545934416734
1987-03-01,0.0,-0.1055632222974839,-0.8025338193751609,-0.1821485521443993,0.5036153312960526,0.5156440857359348,0.0750947882106044
1987-04-01,0.0,-0.1203501194705866,-0.7043695876967407,-0.1678676990564649,0.5070739537182221,0.5124755999570775,0.06763518238849059
1987-05-01,0.0,-0.0542069909416343,-0.7041102543901331,0.0635446969860634,0.49160265485656496,0.4611723653063832,0.11457230363611115
1987-06-01,0.0,-0.027076244590269,-0.8699837234091958,0.075926908810123,0.4852595660139997,0.458440720792511,0.08162304258683156
1987-07-01,0.0,-0.0015467264059322,-0.3947809689776269,0.0477641809486351,0.4792951364112864,0.46465707204858714,0.046337255043982506
1987-08-01,0.0,0.1243988929485673,-0.5610629709246376,0.1402235064097325,0.44998918802123333,0.444299967316765,0.004223890473074749
1987-09-01,0.0,0.3759296176284452,-0.4946742950623544,0.4023161747793359,0.392677300472293,0.3878128798828154,0.010712894085396142
1987-10-01,0.0,0.4003609425375924,-1.1335411303882148,0.3915138630407831,0.3872390813738479,0.3900931699891301,0.01437022294515601
1987-11-01,0.0,-0.2277328266551455,0.1261491509945562,-0.2006040374385404,0.5321495566159067,0.5197368962891887,0.13115844997400666
1987-12-01,0.0,-0.3026967480421697,0.5279886485411828,-0.5251615013436793,0.5495666070167229,0.590795558874641,0.2582649755104706
1988-01-01,0.0,-0.5386593681810099,1.0213578214988006,-0.5415677345173014,0.6034139505169993,0.5943136505590209,0.37707319347971885
1988-02-01,0.0,-0.6698788525698276,1.352770763195022,-0.5729732372904034,0.6323920947330203,0.6010209136064683,0.5791137843168719
1988-03-01,0.0,-0.2467015333963508,0.6960662139044238,-0.3105427513508675,0.5365658384304615,0.544044135271488,0.14395751578030183
1988-04-01,0.0,-0.0748140040578191,0.1603504471421052,-0.1029356079845456,0.4964224308996957,0.4980602999427743,0.23388070300970662
1988-05-01,0.0,-0.0623556959723113,0.3984679075518641,-0.1343975617160547,0.49350841940613627,0.5050461143182832,0.5289509779595597
1988-06-01,0.0,-0.0173907946799369,0.4234699182952372,0.0918346798364921,0.4829961798637372,0.4549349867926483,0.20518010895470218
1988-07-01,0.0,0.0051757880080102,0.3710421605090468,0.0353944216953882,0.4777254754484877,0.46739103590182407,0.22946521143827223
1988-08-01,0.0,-0.0262482636621464,0.429302403480199,-0.0352089541119388,0.4850660507658107,0.48302839196337094,0.09755373695281697
1988-09-01,0.0,0.2393418228222192,0.3199035108268974,0.2589545970421733,0.4235378781980996,0.4184392610752378,0.09536071286965928
1988-10-01,0.0,0.2335723114491782,0.0802479245753708,0.2459416410973522,0.42485649245622953,0.42125447120811604,0.026436138226244743
1988-11-01,0.0,0.3606667108395623,-0.0570182921917353,0.3914719746845166,0.39608835598181086,0.39010202174726233,0.0468831336645339
1988-12-01,0.0,0.3566536124807248,-0.3893453271324185,0.3453829511553331,0.39698692556688664,0.39988413686939944,0.03208483812088582
1989-01-01,0.0,0.278915488572887,-0.4836180180725037,0.2508091764017565,0.41452363250277363,0.42020082360825944,0.014594067770393631
1989-02-01,0.0,0.6337580284118552,-0.8810532149278855,0.5859137911494571,0.33685912705385607,0.3498762136587448,0.005401130862374231
1989-03-01,0.0,0.3847634208869674,-0.1854555022731894,0.4710963427059463,0.3907078143878713,0.37341256874296386,0.005893808617675165
1989-04-01,0.0,0.4253730681768271,-0.3318302538452378,0.5024402621946864,0.3817005590880625,0.36692217916926545,0.0034941501669260152
1989-05-01,0.0,0.1311448078501997,0.1602070377975916,0.2130322353424642,0.44842743232983145,0.428396549235574,0.019089018275379573
1989-06-01,0.0,0.0055478825764427,0.2687951247366266,0.0438366367824557,0.4776386064826516,0.46552491553175157,0.027339773221739867
1989-07-01,0.0,0.0648319569661376,0.4079931012455926,0.0225061323072229,0.46381897703120367,0.47024168742204336,0.10988208462889197
1989-08-01,0.0,0.173860339807261,0.3682618811231467,0.1020908698317857,0.4385631358628963,0.45267708497625175,0.29419396290010563
1989-09-01,0.0,-0.0448946570753675,0.284374840559609,-0.0616943646727437,0.4894250505995335,0.4889046661102164,0.153292892430403
1989-10-01,0.0,0.0583788859629667,-0.0095738213887208,0.1605352123397535,0.46532093374041755,0.43985040029067207,0.15139279739786382
1989-11-01,0.0,0.0333150147682626,-0.4879497113968359,0.0239281836635251,0.47116028778262375,0.4699270572206657,0.30220932011418444
1989-12-01,0.0,-0.1932772664533709,-0.1343796556152085,-0.2482534254164878,0.5241152159517392,0.5302903674253505,0.4810650816578963
1990-01-01,0.0,-0.3627291289899562,0.0964199148739881,-0.3601576878190239,0.5634294581842066,0.5549525022106012,0.6634467306594914
1990-02-01,0.0,0.1578605377735434,-1.6400917893771862,0.0154071697345025,0.44225271325907994,0.47181268838260987,0.1498452791779427
1990-03-01,0.0,0.09374889918548,-1.037479359691709,0.031377846295157,0.45709697954463085,0.4682792086418793,0.2671914476363379
1990-04-01,0.0,0.0501281454482928,-1.0005390558641465,0.1104472657719648,0.4672422120596201,0.45083885752090647,0.08782216320514899
1990-05-01,0.0,0.1963820500750909,-1.176070144213029,0.318562474622708,0.4333811777461557,0.40561413893683806,0.033282939846288176
1990-06-01,0.0,0.3223927044717778,-0.6825333448644278,0.3797060961358193,0.40468600002359617,0.3925912083645734,0.010852263052440572
1990-07-01,0.0,0.1531952283793286,-0.3270588008080952,0.2229769136457138,0.4433297603105102,0.42623504176669014,0.14568404250467945
1990-08-01,1.0,0.1715030117907588,-0.448100840660574,0.2335196271543513,0.43910632264985566,0.4239466249399015,0.18627208052962044
1990-09-01,1.0,-0.0732766395876355,0.4455963358605286,-0.059452033732309,0.4960628225611923,0.4884070222291623,0.2378684140820633
1990-10-01,1.0,-0.1184416803180701,0.8479611024806095,-0.1399491591582837,0.506627605086152,0.5062786646259955,0.4224824473037309
1990-11-01,1.0,-0.550851093668817,2.0940644412819664,-0.6855337651178856,0.6061406586476681,0.6247349988934191,0.8903536605021003
1990-12-01,1.0,-0.322122457583024,1.5854029570507906,-0.5682458453070109,0.5540619435070939,0.6000136397901932,0.7478095684807572
1991-01-01,1.0,-0.6391903879874965,2.1986375650460723,-0.7828468943855024,0.6256915806959743,0.6447697276343223,0.8809929382476769
1991-02-01,1.0,-0.9612513559696398,2.331954007112333,-0.9525254504046266,0.6932016987058669,0.6784881618473103,0.9531436592173193
1991-03-01,1.0,-0.4314078518268421,1.4716096522636364,-0.4564846903362873,0.5791670460331256,0.5759715096719351,0.9116720500581745
1991-04-01,0.0,0.037693463081157,0.0459712162721873,0.3074681068694098,0.4701395868833692,0.40799200454496376,0.4758476469055544
1991-05-01,0.0,-0.030516649525498,-0.1612743568137913,0.1379466637263388,0.48606370225426054,0.44479931277311024,0.4984170711164377
1991-06-01,0.0,-0.0693693373826955,-0.3463721609771275,0.0478929728632266,0.4951488760150399,0.46462861734503447,0.15696769999609608
1991-07-01,0.0,0.2552083606391714,-0.8439800594898537,0.3701627498842649,0.4199172664095668,0.3946143109015263,0.00423831292073533
1991-08-01,0.0,0.324377568439663,-1.2935246873889763,0.4531388909972826,0.40423864174720675,0.37715183528973856,0.0017595777606795708
1991-09-01,0.0,0.1866489887953797,-1.0827646086685647,0.2722416022247143,0.4356189120452198,0.41557023590132963,0.004132170197400267
1991-10-01,0.0,-0.0209267339542429,-1.0299377424982366,0.0585832966253423,0.4838224151386874,0.4622675657780769,0.003822749456868722
1991-11-01,0.0,-0.1246824528425467,-0.703207766068414,-0.1517534194661401,0.5080871634192791,0.5088991415176073,0.01825473784314655
