,unemployment_rate,housing_starts,consumer_sentiment,industrial_production,recession_indicator,jobless_claims,yield_spread,credit_spread,sp500
1991-03-01,6.8,921.0,87.7,60.3346,1.0,498600.0,1.0070000000000001,1.98,375.2200012207031
1991-04-01,6.7,1001.0,81.8,60.4938,0.0,467250.0,1.0909090909090908,1.903181818181818,375.3399963378906
1991-05-01,6.9,996.0,78.3,61.0633,0.0,447000.0,1.2840909090909092,1.795909090909091,389.8299865722656
1991-06-01,6.9,1036.0,82.1,61.5581,0.0,428600.0,1.328,1.6780000000000002,371.1600036621094
1991-07-01,6.8,1063.0,82.9,61.7305,0.0,418250.0,1.355,1.6218181818181818,387.80999755859375
1991-08-01,6.9,1049.0,82.0,61.7298,0.0,431600.0,1.466818181818182,1.7454545454545454,395.4299926757813
1991-09-01,6.9,1015.0,83.0,62.2195,0.0,424500.0,1.4685000000000001,1.8645,387.8599853515625
1991-10-01,7.0,1079.0,78.3,62.1855,0.0,422750.0,1.615,1.964090909090909,392.4500122070313
1991-11-01,7.0,1103.0,69.1,62.0871,0.0,445400.0,1.858421052631579,2.036842105263158,375.2200012207031
1991-12-01,7.3,1079.0,68.2,61.7852,0.0,456750.0,2.0628571428571427,2.1704761904761902,417.0899963378906
1992-01-01,7.3,1176.0,67.5,61.4616,0.0,439000.0,2.0742857142857143,2.0976190476190473,408.7799987792969
1992-02-01,7.4,1250.0,68.8,61.8955,0.0,442200.0,2.1257894736842107,1.888421052631579,412.7000122070313
1992-03-01,7.4,1297.0,76.0,62.4232,0.0,429500.0,1.8572727272727272,1.7063636363636363,403.6900024414063
1992-04-01,7.4,1099.0,77.2,62.897,0.0,418250.0,2.136190476190476,1.7285714285714284,414.9500122070313
1992-05-01,7.6,1214.0,79.2,63.104,0.0,417400.0,2.1665,1.7375,415.3500061035156
1992-06-01,7.8,1145.0,80.4,63.1363,0.0,418750.0,2.213636363636364,1.7863636363636362,408.1400146484375
1992-07-01,7.7,1139.0,76.6,63.7176,0.0,442750.0,2.489090909090909,1.9922727272727272,424.2099914550781
1992-08-01,7.6,1226.0,76.1,63.3613,0.0,407200.0,2.392857142857143,2.067142857142857,414.0299987792969
1992-09-01,7.6,1186.0,75.6,63.5703,0.0,417000.0,2.520952380952381,2.201428571428571,417.7999877929688
1992-10-01,7.3,1244.0,73.3,63.9995,0.0,377800.0,2.5061904761904765,2.2509523809523806,418.6799926757813
1992-11-01,7.4,1214.0,85.3,64.2422,0.0,362250.0,2.2936842105263158,2.084736842105263,431.3500061035156
1992-12-01,7.4,1227.0,91.0,64.3507,0.0,339000.0,2.096363636363636,2.0404545454545455,435.7099914550781
1993-01-01,7.3,1210.0,89.3,64.5978,0.0,345600.0,2.21,2.066315789473684,438.7799987792969
1993-02-01,7.1,1210.0,86.6,64.9089,0.0,338250.0,2.1605263157894736,2.1347368421052635,443.3800048828125
1993-03-01,7.0,1083.0,85.9,64.8522,0.0,351000.0,2.0256521739130435,2.170434782608696,451.6700134277344
1993-04-01,7.1,1258.0,85.6,65.0301,0.0,354750.0,2.131904761904762,2.170952380952381,440.1900024414063
1993-05-01,7.1,1260.0,80.3,64.784,0.0,343600.0,2.0585,2.1785,450.1900024414063
1993-06-01,7.0,1280.0,81.5,64.9301,0.0,342750.0,1.799090909090909,2.106818181818182,450.5299987792969
1993-07-01,6.9,1254.0,77.0,65.1052,0.0,350800.0,1.7333333333333332,2.128095238095238,448.1300048828125
