,recession_indicator,cli_equal,cli_pca,cli_weighted
1986-12-01,0.0,-0.15602397732796153,0.888313748401253,-0.19070171436566302
1987-01-01,0.0,-0.15069482351127164,0.22628957264980715,-0.3830013522341155
1987-02-01,0.0,-0.22360241704834963,-0.30376238618319856,-0.32064875682603666
1987-03-01,0.0,-0.11090008898475441,-0.7866680549201465,-0.1916387893482584
1987-04-01,0.0,-0.12603774691127112,-0.6921062290199672,-0.17851822844034823
1987-05-01,0.0,-0.05659556554734527,-0.6897795463347308,0.0591417049738971
1987-06-01,0.0,-0.02907024732447547,-0.8510654307909523,0.07338797879752698
1987-07-01,0.0,-0.0049683875183219525,-0.3848389584037186,0.04235757786532831
1987-08-01,0.0,0.119577599011633,-0.5566519783685505,0.1326684705440678
1987-09-01,0.0,0.37242829881248724,-0.4563640836004858,0.39911101186812487
1987-10-01,0.0,0.39654498446118663,-1.0743968262029053,0.3882505374264953
1987-11-01,0.0,-0.22539291844617304,0.10326514197865479,-0.19753247046151165
1987-12-01,0.0,-0.29912487116402614,0.5137804484937432,-0.519778012504898
1988-01-01,0.0,-0.536995989066474,0.967311346069984,-0.5423032358165758
1988-02-01,0.0,-0.670588594529846,1.2787407697856399,-0.5805483511991557
1988-03-01,0.0,-0.24780788780501986,0.6673846562038673,-0.3155307467395707
1988-04-01,0.0,-0.07446061011190616,0.1614436783565101,-0.10503321472137665
1988-05-01,0.0,-0.06138038745407573,0.41084537811535166,-0.1336042958724142
1988-06-01,0.0,-0.014233189670548619,0.4049788560312377,0.09740223573856271
1988-07-01,0.0,0.005836265364892644,0.3616789066005734,0.036626516643304054
1988-08-01,0.0,-0.025005932052373097,0.4115459105077424,-0.03297602541236383
1988-09-01,0.0,0.2440349384991815,0.32286141128561024,0.26795178157213306
1988-10-01,0.0,0.23668136071640347,0.07431090116875867,0.2527577526325985
1988-11-01,0.0,0.36595169333021976,-0.03960466821586385,0.4052978518066543
1988-12-01,0.0,0.36227945257724453,-0.36480431251580864,0.3599190916806326
1989-01-01,0.0,0.2833616643449885,-0.47428132863921973,0.2635071852073004
1989-02-01,0.0,0.636973889677871,-0.8363704322075364,0.5966445996084997
1989-03-01,0.0,0.39113165014553447,-0.18921623755658692,0.487074197719337
1989-04-01,0.0,0.4322943083982684,-0.32715419607711316,0.5198820854696866
1989-05-01,0.0,0.13498584709809658,0.14956219497952453,0.222895774125499
1989-06-01,0.0,0.006524970605005771,0.25262029746508274,0.047208850397418914
1989-07-01,0.0,0.0658973972765388,0.414291242381192,0.025322530684059298
1989-08-01,0.0,0.1715125966294323,0.40493031395518936,0.0985701076316142
1989-09-01,0.0,-0.04841113561198961,0.2905733921583182,-0.06761774776441737
1989-10-01,0.0,0.05509515859731533,-0.0001731608201465235,0.1533934494410504
1989-11-01,0.0,0.028632132038319054,-0.45645249813000816,0.013853743854731244
1989-12-01,0.0,-0.1997622720826407,-0.11570893657076693,-0.26352135740956273
1990-01-01,0.0,-0.37070377564980717,0.09923024833559059,-0.3796992672014384
1990-02-01,0.0,0.15270813693613747,-1.5700879395709748,0.0036783511611316157
1990-03-01,0.0,0.09091866664425759,-0.9857673608358387,0.025234223505328317
1990-04-01,0.0,0.04712548309336393,-0.9801880359605213,0.10380257584451752
1990-05-01,0.0,0.19603114570911312,-1.1531075415923404,0.31641929666749974
1990-06-01,0.0,0.3209848119860372,-0.6611244283679083,0.378187684969875
1990-07-01,0.0,0.15128563624395958,-0.3021734606016146,0.2189815278420575
1990-08-01,1.0,0.1698505336678811,-0.4124588766314497,0.2291130671386308
